Service category,Procedure,Statewide indicator,Hospital,Number of discharges 2018,25th percentile 2018,Median 2018,"75th percentile, 2018",Number of discharges 2017,25th percentile 2017,Median 2017,75th percentile 2017,Difference in medians,Percent difference from 2017
Diagnostic Imaging and Testing,Cardiovascular: MCT,0,Good Shepherd Med Ctr,63,490,517,517,44,496,506,517,11,0.022
Diagnostic Imaging and Testing,Cardiovascular: MCT,0,Grande Ronde Hosp,27,439,457,462,53,422,439,439,18,0.041
Diagnostic Imaging and Testing,Cardiovascular: MCT,0,Harney District Hosp,15,336,368,500,14,217,327,347,41,0.125
Diagnostic Imaging and Testing,Cardiovascular: MCT,0,Legacy Emanuel Med Ctr,166,214,683,1040,160,309,777,1390,-94,-0.121
Diagnostic Imaging and Testing,Cardiovascular: MCT,0,Legacy Good Samaritan Med Ctr,182,295,895,1233,190,283,792,1159,103,0.13
Diagnostic Imaging and Testing,Cardiovascular: MCT,0,Legacy Meridian Park Med Ctr,154,323,965,1235,143,283,309,1006,656,2.123
Diagnostic Imaging and Testing,Cardiovascular: MCT,0,Legacy Mount Hood Med Ctr,103,235,660,1040,73,283,309,912,351,1.136
Diagnostic Imaging and Testing,Cardiovascular: MCT,0,Legacy Silverton Med Ctr,83,911,1709,1932,63,345,1709,2006,0,0
Diagnostic Imaging and Testing,Cardiovascular: MCT,0,McKenzie-Willamette Med Ctr,100,546,2277,2640,90,559,2159,2467,118,0.055
Diagnostic Imaging and Testing,Cardiovascular: MCT,0,Mercy Med Ctr,218,662,990,1228,243,496,964,1168,26,0.027
Diagnostic Imaging and Testing,Cardiovascular: MCT,0,Mid-Columbia Med Ctr,11,211,484,962,15,211,293,716,191,0.652
Diagnostic Imaging and Testing,Cardiovascular: MCT,0,OHSU Hosp,537,411,598,689,614,306,566,620,32,0.057
Diagnostic Imaging and Testing,Cardiovascular: MCT,0,PeaceHealth Peace Harbor Med Ctr,39,1595,1617,1755,50,1055,1518,1548,99,0.065
Diagnostic Imaging and Testing,Cardiovascular: MCT,0,PeaceHealth Sacred Heart Med Ctr-RiverBend,588,310,416,1577,550,378,413,1506,3,0.007
Diagnostic Imaging and Testing,Cardiovascular: MCT,0,Providence Hood River Mem Hosp,41,371,543,929,61,467,573,851,-30,-0.052
Diagnostic Imaging and Testing,Cardiovascular: MCT,0,Providence Medford Med Ctr,123,72,413,572,168,46,287,464,126,0.439
Diagnostic Imaging and Testing,Cardiovascular: MCT,0,Providence Milwaukie Hosp,118,226,376,1048,122,105,357,612,19,0.053
Diagnostic Imaging and Testing,Cardiovascular: MCT,0,Providence Newberg Med Ctr,303,374,377,1256,211,343,376,1261,1,0.003
Diagnostic Imaging and Testing,Cardiovascular: MCT,0,Providence Portland Med Ctr,302,99,357,669,383,59,328,580,29,0.088
Diagnostic Imaging and Testing,Cardiovascular: MCT,0,Providence Seaside Hosp,35,203,439,1320,29,32,46,381,393,8.543
Diagnostic Imaging and Testing,Cardiovascular: MCT,0,Providence St Vincent Med Ctr,799,226,357,1101,931,105,328,509,29,0.088
Diagnostic Imaging and Testing,Cardiovascular: MCT,0,Providence Willamette Falls Med Ctr,210,179,376,512,197,215,376,580,0,0
Diagnostic Imaging and Testing,Cardiovascular: MCT,0,Salem Health Salem Hosp,79,371,499,514,57,308,448,494,51,0.114
Diagnostic Imaging and Testing,Cardiovascular: MCT,0,Salem Health West Valley Hosp,23,358,514,958,17,494,897,897,-383,-0.427
Diagnostic Imaging and Testing,Cardiovascular: MCT,0,Samaritan Albany Gen Hosp,77,438,438,713,74,414,699,722,-261,-0.373
Diagnostic Imaging and Testing,Cardiovascular: MCT,0,Samaritan Lebanon Comm Hosp,88,685,736,736,103,672,722,722,14,0.019
Diagnostic Imaging and Testing,Cardiovascular: MCT,0,Samaritan North Lincoln Hosp,10,685,686,706,36,707,722,722,-36,-0.05
Diagnostic Imaging and Testing,Cardiovascular: MCT,0,Samaritan Pacific Comm Hosp,64,685,736,736,65,632,707,722,29,0.041
Diagnostic Imaging and Testing,Cardiovascular: MCT,0,Santiam Hosp,41,268,272,299,29,250,264,264,8,0.03
Diagnostic Imaging and Testing,Cardiovascular: MCT,0,Sky Lakes Med Ctr,144,444,559,576,145,475,518,528,41,0.079
Diagnostic Imaging and Testing,Cardiovascular: MCT,0,Southern Coos Hosp and Hlth Ctr,18,493,509,532,13,532,532,543,-23,-0.043
Diagnostic Imaging and Testing,Cardiovascular: MCT,0,St Alphonsus Med Ctr-Ontario,13,651,851,860,20,630,686,860,165,0.241
Diagnostic Imaging and Testing,Cardiovascular: MCT,0,St Anthony Hospital,56,596,1130,1130,65,539,951,1130,179,0.188
Diagnostic Imaging and Testing,Cardiovascular: MCT,0,Wallowa Mem Hosp,25,231,270,283,10,218,248,265,22,0.089
Diagnostic Imaging and Testing,Cardiovascular: MCT,0,Willamette Valley Med Ctr,53,312,336,530,59,294,295,473,41,0.139
Diagnostic Imaging and Testing,CT w contrast: Abdomen GI,1,Statewide,11845,776,1244,2002,11295,776,1085,1879,159,0.147
Diagnostic Imaging and Testing,CT w contrast: Abdomen GI,0,Adventist Med Ctr,141,567,760,967,126,737,880,1005,-120,-0.136
Diagnostic Imaging and Testing,CT w contrast: Abdomen GI,0,Adventist Tillamook Reg Med Ctr,77,1875,2118,2162,86,1596,1674,1930,444,0.265
Diagnostic Imaging and Testing,CT w contrast: Abdomen GI,0,Asante Ashland Comm Hosp,57,1526,3288,3485,53,2244,3162,3348,126,0.04
Diagnostic Imaging and Testing,CT w contrast: Abdomen GI,0,Asante Rogue Valley Med Ctr,228,904,1020,1538,205,976,1212,1803,-192,-0.158
Diagnostic Imaging and Testing,CT w contrast: Abdomen GI,0,Asante Three Rivers Med Ctr,173,920,965,1564,166,1003,1559,3050,-594,-0.381
Diagnostic Imaging and Testing,CT w contrast: Abdomen GI,0,Blue Mountain Hosp,23,3831,4827,5908,20,3751,3831,4827,996,0.26
Diagnostic Imaging and Testing,CT w contrast: Abdomen GI,0,Columbia Mem Hosp,44,1993,2570,2940,48,3268,3940,4031,-1370,-0.348
Diagnostic Imaging and Testing,CT w contrast: Abdomen GI,0,Curry Gen Hosp,28,3395,3867,4627,31,2119,3429,3963,438,0.128
Diagnostic Imaging and Testing,CT w contrast: Abdomen GI,0,Good Samaritan Regional Med Ctr,212,1071,2082,3347,203,1315,2094,3699,-12,-0.006
Diagnostic Imaging and Testing,CT w contrast: Abdomen GI,0,Good Shepherd Med Ctr,48,2956,3175,3411,63,1998,2982,3162,193,0.065
Diagnostic Imaging and Testing,CT w contrast: Abdomen GI,0,Grande Ronde Hosp,116,2837,3201,3711,82,2007,3025,3418,176,0.058
Diagnostic Imaging and Testing,CT w contrast: Abdomen GI,0,Harney District Hosp,31,2730,2893,3145,22,2659,2794,2819,99,0.035
Diagnostic Imaging and Testing,CT w contrast: Abdomen GI,0,Kaiser Sunnyside Med Ctr,1867,1085,1244,1428,1782,1058,1085,1246,159,0.147
Diagnostic Imaging and Testing,CT w contrast: Abdomen GI,0,Kaiser Westside Med Ctr,1573,1085,1244,1428,1443,1058,1085,1246,159,0.147
Diagnostic Imaging and Testing,CT w contrast: Abdomen GI,0,Lake District Hosp,14,1022,2749,4253,10,776,2836,3894,-87,-0.031
Diagnostic Imaging and Testing,CT w contrast: Abdomen GI,0,Legacy Emanuel Med Ctr,146,776,1277,1754,118,820,1268,1696,9,0.007
Diagnostic Imaging and Testing,CT w contrast: Abdomen GI,0,Legacy Good Samaritan Med Ctr,351,985,1538,2035,389,979,1533,1973,5,0.003
Diagnostic Imaging and Testing,CT w contrast: Abdomen GI,0,Legacy Meridian Park Med Ctr,326,979,1283,1754,275,930,1275,1696,8,0.006
Diagnostic Imaging and Testing,CT w contrast: Abdomen GI,0,Legacy Mount Hood Med Ctr,185,991,1472,1900,150,820,1121,1560,351,0.313
Diagnostic Imaging and Testing,CT w contrast: Abdomen GI,0,Legacy Silverton Med Ctr,110,598,664,782,122,633,692,783,-28,-0.04
Diagnostic Imaging and Testing,CT w contrast: Abdomen GI,0,McKenzie-Willamette Med Ctr,93,400,552,1170,72,400,766,1799,-214,-0.279
Diagnostic Imaging and Testing,CT w contrast: Abdomen GI,0,Mercy Med Ctr,298,1262,2660,3663,301,1262,1523,2660,1137,0.747
Diagnostic Imaging and Testing,CT w contrast: Abdomen GI,0,Mid-Columbia Med Ctr,84,1707,3870,4126,86,1917,3948,4838,-78,-0.02
Diagnostic Imaging and Testing,CT w contrast: Abdomen GI,0,OHSU Hosp,1252,1196,1695,2654,1132,1188,1720,2583,-25,-0.015
Diagnostic Imaging and Testing,CT w contrast: Abdomen GI,0,PeaceHealth Cottage Grove Comm Hosp,17,2863,2901,3123,11,1863,2757,2916,144,0.052
Diagnostic Imaging and Testing,CT w contrast: Abdomen GI,0,PeaceHealth Peace Harbor Med Ctr,30,2862,3003,3334,36,2743,2916,3478,87,0.03
Diagnostic Imaging and Testing,CT w contrast: Abdomen GI,0,PeaceHealth Sacred Heart Med Ctr-RiverBend,10,376,875,888,,,,,,
Diagnostic Imaging and Testing,CT w contrast: Abdomen GI,0,Pioneer Mem Hosp-Heppner,12,2683,2711,2877,,,,,,
Diagnostic Imaging and Testing,CT w contrast: Abdomen GI,0,Providence Hood River Mem Hosp,89,1195,1733,2305,87,1742,2134,2390,-401,-0.188
Diagnostic Imaging and Testing,CT w contrast: Abdomen GI,0,Providence Medford Med Ctr,181,831,1320,2409,225,744,1280,2392,40,0.031
Diagnostic Imaging and Testing,CT w contrast: Abdomen GI,0,Providence Milwaukie Hosp,269,405,475,632,182,387,447,738,28,0.063
Diagnostic Imaging and Testing,CT w contrast: Abdomen GI,0,Providence Newberg Med Ctr,271,464,533,819,229,461,530,1095,3,0.006
Diagnostic Imaging and Testing,CT w contrast: Abdomen GI,0,Providence Portland Med Ctr,943,380,475,726,1032,387,535,868,-60,-0.112
Diagnostic Imaging and Testing,CT w contrast: Abdomen GI,0,Providence Seaside Hosp,63,365,1949,2549,61,1761,2368,3610,-419,-0.177
Diagnostic Imaging and Testing,CT w contrast: Abdomen GI,0,Providence St Vincent Med Ctr,790,413,559,861,868,389,535,1051,24,0.045
Diagnostic Imaging and Testing,CT w contrast: Abdomen GI,0,Providence Willamette Falls Med Ctr,318,413,491,815,257,389,535,676,-44,-0.082
Diagnostic Imaging and Testing,CT w contrast: Abdomen GI,0,Salem Health Salem Hosp,249,505,893,1334,248,541,896,1188,-3,-0.003
Diagnostic Imaging and Testing,CT w contrast: Abdomen GI,0,Salem Health West Valley Hosp,66,600,905,1036,44,848,1113,1222,-208,-0.187
Diagnostic Imaging and Testing,CT w contrast: Abdomen GI,0,Samaritan Albany Gen Hosp,141,1051,1552,3347,148,1098,1765,3509,-213,-0.121
Diagnostic Imaging and Testing,CT w contrast: Abdomen GI,0,Samaritan Lebanon Comm Hosp,92,3374,3509,4404,110,3268,3509,4465,0,0
Diagnostic Imaging and Testing,CT w contrast: Abdomen GI,0,Samaritan North Lincoln Hosp,38,3266,3509,4204,34,3413,3509,3965,0,0
Diagnostic Imaging and Testing,CT w contrast: Abdomen GI,0,Samaritan Pacific Comm Hosp,63,3266,3509,4404,68,3268,3509,4204,0,0
Diagnostic Imaging and Testing,CT w contrast: Abdomen GI,0,Santiam Hosp,132,166,2409,2832,99,266,2460,2749,-51,-0.021
Diagnostic Imaging and Testing,CT w contrast: Abdomen GI,0,Sky Lakes Med Ctr,167,1344,1693,3350,184,1693,2270,3443,-577,-0.254
Diagnostic Imaging and Testing,CT w contrast: Abdomen GI,0,Southern Coos Hosp and Hlth Ctr,15,3343,3826,4932,16,2455,2544,2699,1282,0.504
Diagnostic Imaging and Testing,CT w contrast: Abdomen GI,0,St Alphonsus Med Ctr-Baker City,26,1055,3735,3885,21,1289,2192,3735,1543,0.704
Diagnostic Imaging and Testing,CT w contrast: Abdomen GI,0,St Alphonsus Med Ctr-Ontario,37,1548,3685,3889,31,1910,3669,4572,16,0.004
Diagnostic Imaging and Testing,CT w contrast: Abdomen GI,0,St Anthony Hospital,77,3617,4045,4786,61,2394,3852,4045,193,0.05
Diagnostic Imaging and Testing,CT w contrast: Abdomen GI,0,Tuality Comm Hosp,93,671,986,1440,87,584,671,1157,315,0.469
Diagnostic Imaging and Testing,CT w contrast: Abdomen GI,0,Wallowa Mem Hosp,30,2778,2866,3006,24,2701,2753,3298,113,0.041
Diagnostic Imaging and Testing,CT w contrast: Abdomen GI,0,Willamette Valley Med Ctr,122,751,1187,1658,105,780,1064,1440,123,0.116
Diagnostic Imaging and Testing,CT w contrast: Chest,1,Statewide,5433,758,1516,2098,5243,735,1410,1999,106,0.075
Diagnostic Imaging and Testing,CT w contrast: Chest,0,Adventist Med Ctr,56,602,967,1115,75,564,764,1345,203,0.266
Diagnostic Imaging and Testing,CT w contrast: Chest,0,Adventist Tillamook Reg Med Ctr,23,981,1110,2426,24,991,1147,1675,-37,-0.032
Diagnostic Imaging and Testing,CT w contrast: Chest,0,Asante Ashland Comm Hosp,21,948,2110,2638,22,1916,2080,3852,30,0.014
Diagnostic Imaging and Testing,CT w contrast: Chest,0,Asante Rogue Valley Med Ctr,110,904,1020,1960,92,976,1049,2043,-29,-0.028
Diagnostic Imaging and Testing,CT w contrast: Chest,0,Asante Three Rivers Med Ctr,51,949,1430,1922,71,985,1819,2294,-389,-0.214
Diagnostic Imaging and Testing,CT w contrast: Chest,0,Columbia Mem Hosp,41,1882,2186,2232,33,3026,3058,5357,-872,-0.285
Diagnostic Imaging and Testing,CT w contrast: Chest,0,Curry Gen Hosp,14,1818,2974,4896,18,1648,1831,4524,1143,0.624
Diagnostic Imaging and Testing,CT w contrast: Chest,0,Good Samaritan Regional Med Ctr,120,1742,2140,3584,116,1789,2094,4404,46,0.022
Diagnostic Imaging and Testing,CT w contrast: Chest,0,Good Shepherd Med Ctr,15,2352,4327,5184,29,2092,2218,4210,2109,0.951
Diagnostic Imaging and Testing,CT w contrast: Chest,0,Grande Ronde Hosp,53,1900,2002,4698,36,1753,1963,3888,39,0.02
Diagnostic Imaging and Testing,CT w contrast: Chest,0,Harney District Hosp,11,1446,2927,3734,10,1364,1957,3324,970,0.496
Diagnostic Imaging and Testing,CT w contrast: Chest,0,Kaiser Sunnyside Med Ctr,639,823,1908,2002,603,823,1861,1908,47,0.025
Diagnostic Imaging and Testing,CT w contrast: Chest,0,Kaiser Westside Med Ctr,520,1030,1908,2002,458,823,1860,1908,48,0.026
Diagnostic Imaging and Testing,CT w contrast: Chest,0,Legacy Emanuel Med Ctr,54,776,1526,2618,51,922,1546,3454,-20,-0.013
Diagnostic Imaging and Testing,CT w contrast: Chest,0,Legacy Good Samaritan Med Ctr,185,978,1743,2618,194,1148,1722,2618,21,0.012
Diagnostic Imaging and Testing,CT w contrast: Chest,0,Legacy Meridian Park Med Ctr,139,922,1538,2461,130,922,1514,1900,24,0.016
Diagnostic Imaging and Testing,CT w contrast: Chest,0,Legacy Mount Hood Med Ctr,95,852,1538,2461,72,744,1157,2133,381,0.329
Diagnostic Imaging and Testing,CT w contrast: Chest,0,Legacy Silverton Med Ctr,31,479,576,1055,37,507,841,1051,-265,-0.315
Diagnostic Imaging and Testing,CT w contrast: Chest,0,McKenzie-Willamette Med Ctr,31,380,576,1284,26,380,552,1898,24,0.043
Diagnostic Imaging and Testing,CT w contrast: Chest,0,Mercy Med Ctr,140,1905,2544,4360,121,1262,1360,2512,1184,0.871
Diagnostic Imaging and Testing,CT w contrast: Chest,0,Mid-Columbia Med Ctr,36,1916,1923,2693,36,1917,2141,5673,-218,-0.102
Diagnostic Imaging and Testing,CT w contrast: Chest,0,OHSU Hosp,790,1467,1695,3013,695,1429,1720,2927,-25,-0.015
Diagnostic Imaging and Testing,CT w contrast: Chest,0,PeaceHealth Peace Harbor Med Ctr,15,957,1454,3334,19,1622,3235,3797,-1781,-0.551
Diagnostic Imaging and Testing,CT w contrast: Chest,0,Providence Hood River Mem Hosp,61,365,1399,2305,49,1409,2317,2698,-918,-0.396
Diagnostic Imaging and Testing,CT w contrast: Chest,0,Providence Medford Med Ctr,37,1148,1491,2983,69,365,1140,1772,351,0.308
Diagnostic Imaging and Testing,CT w contrast: Chest,0,Providence Milwaukie Hosp,118,324,559,815,77,369,535,537,24,0.045
Diagnostic Imaging and Testing,CT w contrast: Chest,0,Providence Newberg Med Ctr,129,442,643,991,119,365,636,983,7,0.011
Diagnostic Imaging and Testing,CT w contrast: Chest,0,Providence Portland Med Ctr,569,365,570,901,620,369,537,1051,33,0.061
Diagnostic Imaging and Testing,CT w contrast: Chest,0,Providence Seaside Hosp,25,365,2444,3012,30,1849,2078,3610,366,0.176
Diagnostic Imaging and Testing,CT w contrast: Chest,0,Providence St Vincent Med Ctr,490,406,578,1079,531,369,537,1051,41,0.076
Diagnostic Imaging and Testing,CT w contrast: Chest,0,Providence Willamette Falls Med Ctr,117,398,570,861,118,319,537,569,33,0.061
Diagnostic Imaging and Testing,CT w contrast: Chest,0,Salem Health Salem Hosp,149,893,1075,1811,123,810,1031,1811,44,0.043
Diagnostic Imaging and Testing,CT w contrast: Chest,0,Salem Health West Valley Hosp,25,505,1272,1516,17,418,759,759,513,0.676
Diagnostic Imaging and Testing,CT w contrast: Chest,0,Samaritan Albany Gen Hosp,58,1053,1750,2731,68,1096,2022,4404,-272,-0.135
Diagnostic Imaging and Testing,CT w contrast: Chest,0,Samaritan Lebanon Comm Hosp,52,1789,4404,4404,54,1789,4404,5134,0,0
Diagnostic Imaging and Testing,CT w contrast: Chest,0,Samaritan North Lincoln Hosp,15,1789,4404,4404,18,1752,2905,4404,1499,0.516
Diagnostic Imaging and Testing,CT w contrast: Chest,0,Samaritan Pacific Comm Hosp,38,1789,3706,4931,45,1666,1789,4404,1917,1.072
Diagnostic Imaging and Testing,CT w contrast: Chest,0,Santiam Hosp,58,1159,1581,1678,72,266,1374,1535,207,0.151
Diagnostic Imaging and Testing,CT w contrast: Chest,0,Sky Lakes Med Ctr,68,1344,2495,2847,92,1707,2422,3183,73,0.03
Diagnostic Imaging and Testing,CT w contrast: Chest,0,St Alphonsus Med Ctr-Baker City,14,1934,2132,4592,,,,,,
Diagnostic Imaging and Testing,CT w contrast: Chest,0,St Alphonsus Med Ctr-Ontario,13,1635,2791,4846,18,771,4237,4572,-1446,-0.341
Diagnostic Imaging and Testing,CT w contrast: Chest,0,St Anthony Hospital,14,2184,4040,5394,20,1785,2132,4201,1908,0.895
Diagnostic Imaging and Testing,CT w contrast: Chest,0,Tuality Comm Hosp,53,790,986,1580,21,604,1054,1777,-68,-0.065
Diagnostic Imaging and Testing,CT w contrast: Chest,0,Wallowa Mem Hosp,11,1728,2208,3396,,,,,,
Diagnostic Imaging and Testing,CT w contrast: Chest,0,Willamette Valley Med Ctr,85,751,1217,1689,63,780,1369,1440,-152,-0.111
Diagnostic Imaging and Testing,CT w contrast: Head and neck,1,Statewide,2223,694,1018,1953,2192,635,940,1726,78,0.083
Diagnostic Imaging and Testing,CT w contrast: Head and neck,0,Adventist Med Ctr,22,731,967,1614,15,487,661,764,306,0.463
Diagnostic Imaging and Testing,CT w contrast: Head and neck,0,Adventist Tillamook Reg Med Ctr,20,971,981,2590,19,851,1001,1258,-20,-0.02
Diagnostic Imaging and Testing,CT w contrast: Head and neck,0,Asante Ashland Comm Hosp,10,2224,2355,2399,12,2138,2201,2332,154,0.07
Diagnostic Imaging and Testing,CT w contrast: Head and neck,0,Asante Rogue Valley Med Ctr,62,948,1020,1896,66,904,976,1905,44,0.045
Diagnostic Imaging and Testing,CT w contrast: Head and neck,0,Asante Three Rivers Med Ctr,37,904,949,1881,41,906,1013,1850,-64,-0.063
Diagnostic Imaging and Testing,CT w contrast: Head and neck,0,Columbia Mem Hosp,19,1504,1762,3008,21,2344,3499,5498,-1737,-0.496
Diagnostic Imaging and Testing,CT w contrast: Head and neck,0,Good Samaritan Regional Med Ctr,32,1080,1687,2122,31,1134,2094,2735,-407,-0.194
Diagnostic Imaging and Testing,CT w contrast: Head and neck,0,Grande Ronde Hosp,26,1537,1836,2075,21,1479,1806,2023,30,0.017
Diagnostic Imaging and Testing,CT w contrast: Head and neck,0,Kaiser Sunnyside Med Ctr,284,756,1166,2316,267,800,989,1986,177,0.179
Diagnostic Imaging and Testing,CT w contrast: Head and neck,0,Kaiser Westside Med Ctr,318,756,1163,2316,271,800,818,1986,345,0.422
Diagnostic Imaging and Testing,CT w contrast: Head and neck,0,Legacy Emanuel Med Ctr,42,823,1249,2193,40,872,1028,2066,221,0.215
Diagnostic Imaging and Testing,CT w contrast: Head and neck,0,Legacy Good Samaritan Med Ctr,40,842,1016,1878,36,763,1082,2834,-66,-0.061
Diagnostic Imaging and Testing,CT w contrast: Head and neck,0,Legacy Meridian Park Med Ctr,38,776,949,1218,29,820,923,1648,26,0.028
Diagnostic Imaging and Testing,CT w contrast: Head and neck,0,Legacy Mount Hood Med Ctr,27,776,1538,3021,21,735,820,911,718,0.876
Diagnostic Imaging and Testing,CT w contrast: Head and neck,0,Legacy Silverton Med Ctr,15,497,892,1143,14,503,525,892,367,0.699
Diagnostic Imaging and Testing,CT w contrast: Head and neck,0,McKenzie-Willamette Med Ctr,11,376,564,1451,21,1028,1898,6387,-1334,-0.703
Diagnostic Imaging and Testing,CT w contrast: Head and neck,0,Mercy Med Ctr,53,1284,1664,2494,35,860,1314,1638,350,0.266
Diagnostic Imaging and Testing,CT w contrast: Head and neck,0,Mid-Columbia Med Ctr,17,1752,2115,2837,18,1970,2122,4271,-7,-0.003
Diagnostic Imaging and Testing,CT w contrast: Head and neck,0,OHSU Hosp,279,765,1313,2017,292,774,1271,1958,42,0.033
Diagnostic Imaging and Testing,CT w contrast: Head and neck,0,Providence Hood River Mem Hosp,32,372,1228,1597,23,645,1194,1652,34,0.028
Diagnostic Imaging and Testing,CT w contrast: Head and neck,0,Providence Medford Med Ctr,31,717,1239,1408,43,571,1098,1628,141,0.128
Diagnostic Imaging and Testing,CT w contrast: Head and neck,0,Providence Milwaukie Hosp,31,309,544,898,42,293,367,569,177,0.482
Diagnostic Imaging and Testing,CT w contrast: Head and neck,0,Providence Newberg Med Ctr,65,351,547,972,58,349,649,837,-102,-0.157
Diagnostic Imaging and Testing,CT w contrast: Head and neck,0,Providence Portland Med Ctr,212,322,578,831,228,294,512,738,66,0.129
Diagnostic Imaging and Testing,CT w contrast: Head and neck,0,Providence Seaside Hosp,15,216,1852,1880,10,259,1159,1861,693,0.598
Diagnostic Imaging and Testing,CT w contrast: Head and neck,0,Providence St Vincent Med Ctr,219,385,653,950,250,364,548,898,105,0.192
Diagnostic Imaging and Testing,CT w contrast: Head and neck,0,Providence Willamette Falls Med Ctr,26,398,514,578,32,545,569,857,-55,-0.097
