Service category,Procedure,Statewide indicator,Hospital,Number of discharges 2018,25th percentile 2018,Median 2018,"75th percentile, 2018"
Diagnostic Imaging and Testing,CT w contrast: Abdomen GI,0,OHSU Hosp,1252,1196,1695,2654
Diagnostic Imaging and Testing,CT w contrast: Abdomen GI,0,PeaceHealth Cottage Grove Comm Hosp,17,2863,2901,3123
Diagnostic Imaging and Testing,CT w contrast: Abdomen GI,0,PeaceHealth Peace Harbor Med Ctr,30,2862,3003,3334
Diagnostic Imaging and Testing,CT w contrast: Abdomen GI,0,PeaceHealth Sacred Heart Med Ctr-RiverBend,10,376,875,888
Diagnostic Imaging and Testing,CT w contrast: Abdomen GI,0,Pioneer Mem Hosp-Heppner,12,2683,2711,2877
Diagnostic Imaging and Testing,CT w contrast: Abdomen GI,0,Providence Hood River Mem Hosp,89,1195,1733,2305
Diagnostic Imaging and Testing,CT w contrast: Abdomen GI,0,Providence Medford Med Ctr,181,831,1320,2409
Diagnostic Imaging and Testing,CT w contrast: Abdomen GI,0,Providence Milwaukie Hosp,269,405,475,632
Diagnostic Imaging and Testing,CT w contrast: Abdomen GI,0,Providence Newberg Med Ctr,271,464,533,819
Diagnostic Imaging and Testing,CT w contrast: Abdomen GI,0,Providence Portland Med Ctr,943,380,475,726
Diagnostic Imaging and Testing,CT w contrast: Abdomen GI,0,Providence Seaside Hosp,63,365,1949,2549
Diagnostic Imaging and Testing,CT w contrast: Abdomen GI,0,Providence St Vincent Med Ctr,790,413,559,861
Diagnostic Imaging and Testing,CT w contrast: Abdomen GI,0,Providence Willamette Falls Med Ctr,318,413,491,815
Diagnostic Imaging and Testing,CT w contrast: Abdomen GI,0,Salem Health Salem Hosp,249,505,893,1334
Diagnostic Imaging and Testing,CT w contrast: Abdomen GI,0,Salem Health West Valley Hosp,66,600,905,1036
Diagnostic Imaging and Testing,CT w contrast: Abdomen GI,0,Samaritan Albany Gen Hosp,141,1051,1552,3347
Diagnostic Imaging and Testing,CT w contrast: Abdomen GI,0,Samaritan Lebanon Comm Hosp,92,3374,3509,4404
Diagnostic Imaging and Testing,CT w contrast: Abdomen GI,0,Samaritan North Lincoln Hosp,38,3266,3509,4204
Diagnostic Imaging and Testing,CT w contrast: Abdomen GI,0,Samaritan Pacific Comm Hosp,63,3266,3509,4404
Diagnostic Imaging and Testing,CT w contrast: Abdomen GI,0,Santiam Hosp,132,166,2409,2832
Diagnostic Imaging and Testing,CT w contrast: Abdomen GI,0,Sky Lakes Med Ctr,167,1344,1693,3350
Diagnostic Imaging and Testing,CT w contrast: Abdomen GI,0,Southern Coos Hosp and Hlth Ctr,15,3343,3826,4932
Diagnostic Imaging and Testing,CT w contrast: Abdomen GI,0,St Alphonsus Med Ctr-Baker City,26,1055,3735,3885
Diagnostic Imaging and Testing,CT w contrast: Abdomen GI,0,St Alphonsus Med Ctr-Ontario,37,1548,3685,3889
Diagnostic Imaging and Testing,CT w contrast: Abdomen GI,0,St Anthony Hospital,77,3617,4045,4786
Diagnostic Imaging and Testing,CT w contrast: Abdomen GI,0,Tuality Comm Hosp,93,671,986,1440
Diagnostic Imaging and Testing,CT w contrast: Abdomen GI,0,Wallowa Mem Hosp,30,2778,2866,3006
Diagnostic Imaging and Testing,CT w contrast: Abdomen GI,0,Willamette Valley Med Ctr,122,751,1187,1658
Diagnostic Imaging and Testing,CT w contrast: Chest,1,Statewide,5433,758,1516,2098
Diagnostic Imaging and Testing,CT w contrast: Chest,0,Adventist Med Ctr,56,602,967,1115
Diagnostic Imaging and Testing,CT w contrast: Chest,0,Adventist Tillamook Reg Med Ctr,23,981,1110,2426
Diagnostic Imaging and Testing,CT w contrast: Chest,0,Asante Ashland Comm Hosp,21,948,2110,2638
Diagnostic Imaging and Testing,CT w contrast: Chest,0,Asante Rogue Valley Med Ctr,110,904,1020,1960
Diagnostic Imaging and Testing,CT w contrast: Chest,0,Asante Three Rivers Med Ctr,51,949,1430,1922
Diagnostic Imaging and Testing,CT w contrast: Chest,0,Columbia Mem Hosp,41,1882,2186,2232
Diagnostic Imaging and Testing,CT w contrast: Chest,0,Curry Gen Hosp,14,1818,2974,4896
Diagnostic Imaging and Testing,CT w contrast: Chest,0,Good Samaritan Regional Med Ctr,120,1742,2140,3584
Diagnostic Imaging and Testing,CT w contrast: Chest,0,Good Shepherd Med Ctr,15,2352,4327,5184
Diagnostic Imaging and Testing,CT w contrast: Chest,0,Grande Ronde Hosp,53,1900,2002,4698
Diagnostic Imaging and Testing,CT w contrast: Chest,0,Harney District Hosp,11,1446,2927,3734
Diagnostic Imaging and Testing,CT w contrast: Chest,0,Kaiser Sunnyside Med Ctr,639,823,1908,2002
Diagnostic Imaging and Testing,CT w contrast: Chest,0,Kaiser Westside Med Ctr,520,1030,1908,2002
Diagnostic Imaging and Testing,CT w contrast: Chest,0,Legacy Emanuel Med Ctr,54,776,1526,2618
Diagnostic Imaging and Testing,CT w contrast: Chest,0,Legacy Good Samaritan Med Ctr,185,978,1743,2618
Diagnostic Imaging and Testing,CT w contrast: Chest,0,Legacy Meridian Park Med Ctr,139,922,1538,2461
Diagnostic Imaging and Testing,CT w contrast: Chest,0,Legacy Mount Hood Med Ctr,95,852,1538,2461
Diagnostic Imaging and Testing,CT w contrast: Chest,0,Legacy Silverton Med Ctr,31,479,576,1055
Diagnostic Imaging and Testing,CT w contrast: Chest,0,McKenzie-Willamette Med Ctr,31,380,576,1284
Diagnostic Imaging and Testing,CT w contrast: Chest,0,Mercy Med Ctr,140,1905,2544,4360
Diagnostic Imaging and Testing,CT w contrast: Chest,0,Mid-Columbia Med Ctr,36,1916,1923,2693
Diagnostic Imaging and Testing,CT w contrast: Chest,0,OHSU Hosp,790,1467,1695,3013
Diagnostic Imaging and Testing,CT w contrast: Chest,0,PeaceHealth Peace Harbor Med Ctr,15,957,1454,3334
Diagnostic Imaging and Testing,CT w contrast: Chest,0,Providence Hood River Mem Hosp,61,365,1399,2305
Diagnostic Imaging and Testing,CT w contrast: Chest,0,Providence Medford Med Ctr,37,1148,1491,2983
Diagnostic Imaging and Testing,CT w contrast: Chest,0,Providence Milwaukie Hosp,118,324,559,815
Diagnostic Imaging and Testing,CT w contrast: Chest,0,Providence Newberg Med Ctr,129,442,643,991
Diagnostic Imaging and Testing,CT w contrast: Chest,0,Providence Portland Med Ctr,569,365,570,901
Diagnostic Imaging and Testing,CT w contrast: Chest,0,Providence Seaside Hosp,25,365,2444,3012
Diagnostic Imaging and Testing,CT w contrast: Chest,0,Providence St Vincent Med Ctr,490,406,578,1079
Diagnostic Imaging and Testing,CT w contrast: Chest,0,Providence Willamette Falls Med Ctr,117,398,570,861
Diagnostic Imaging and Testing,CT w contrast: Chest,0,Salem Health Salem Hosp,149,893,1075,1811
Diagnostic Imaging and Testing,CT w contrast: Chest,0,Salem Health West Valley Hosp,25,505,1272,1516
Diagnostic Imaging and Testing,CT w contrast: Chest,0,Samaritan Albany Gen Hosp,58,1053,1750,2731
Diagnostic Imaging and Testing,CT w contrast: Chest,0,Samaritan Lebanon Comm Hosp,52,1789,4404,4404
Diagnostic Imaging and Testing,CT w contrast: Chest,0,Samaritan North Lincoln Hosp,15,1789,4404,4404
Diagnostic Imaging and Testing,CT w contrast: Chest,0,Samaritan Pacific Comm Hosp,38,1789,3706,4931
Diagnostic Imaging and Testing,CT w contrast: Chest,0,Santiam Hosp,58,1159,1581,1678
Diagnostic Imaging and Testing,CT w contrast: Chest,0,Sky Lakes Med Ctr,68,1344,2495,2847
Diagnostic Imaging and Testing,CT w contrast: Chest,0,St Alphonsus Med Ctr-Baker City,14,1934,2132,4592
Diagnostic Imaging and Testing,CT w contrast: Chest,0,St Alphonsus Med Ctr-Ontario,13,1635,2791,4846
Diagnostic Imaging and Testing,CT w contrast: Chest,0,St Anthony Hospital,14,2184,4040,5394
Diagnostic Imaging and Testing,CT w contrast: Chest,0,Tuality Comm Hosp,53,790,986,1580
Diagnostic Imaging and Testing,CT w contrast: Chest,0,Wallowa Mem Hosp,11,1728,2208,3396
Diagnostic Imaging and Testing,CT w contrast: Chest,0,Willamette Valley Med Ctr,85,751,1217,1689
Diagnostic Imaging and Testing,CT w contrast: Head and neck,1,Statewide,2223,694,1018,1953
Diagnostic Imaging and Testing,CT w contrast: Head and neck,0,Adventist Med Ctr,22,731,967,1614
Diagnostic Imaging and Testing,CT w contrast: Head and neck,0,Adventist Tillamook Reg Med Ctr,20,971,981,2590
Diagnostic Imaging and Testing,CT w contrast: Head and neck,0,Asante Ashland Comm Hosp,10,2224,2355,2399
Diagnostic Imaging and Testing,CT w contrast: Head and neck,0,Asante Rogue Valley Med Ctr,62,948,1020,1896
Diagnostic Imaging and Testing,CT w contrast: Head and neck,0,Asante Three Rivers Med Ctr,37,904,949,1881
Diagnostic Imaging and Testing,CT w contrast: Head and neck,0,Columbia Mem Hosp,19,1504,1762,3008
Diagnostic Imaging and Testing,CT w contrast: Head and neck,0,Good Samaritan Regional Med Ctr,32,1080,1687,2122
Diagnostic Imaging and Testing,CT w contrast: Head and neck,0,Grande Ronde Hosp,26,1537,1836,2075
Diagnostic Imaging and Testing,CT w contrast: Head and neck,0,Kaiser Sunnyside Med Ctr,284,756,1166,2316
Diagnostic Imaging and Testing,CT w contrast: Head and neck,0,Kaiser Westside Med Ctr,318,756,1163,2316
Diagnostic Imaging and Testing,CT w contrast: Head and neck,0,Legacy Emanuel Med Ctr,42,823,1249,2193
Diagnostic Imaging and Testing,CT w contrast: Head and neck,0,Legacy Good Samaritan Med Ctr,40,842,1016,1878
Diagnostic Imaging and Testing,CT w contrast: Head and neck,0,Legacy Meridian Park Med Ctr,38,776,949,1218
Diagnostic Imaging and Testing,CT w contrast: Head and neck,0,Legacy Mount Hood Med Ctr,27,776,1538,3021
Diagnostic Imaging and Testing,CT w contrast: Head and neck,0,Legacy Silverton Med Ctr,15,497,892,1143
Diagnostic Imaging and Testing,CT w contrast: Head and neck,0,McKenzie-Willamette Med Ctr,11,376,564,1451
Diagnostic Imaging and Testing,CT w contrast: Head and neck,0,Mercy Med Ctr,53,1284,1664,2494
Diagnostic Imaging and Testing,CT w contrast: Head and neck,0,Mid-Columbia Med Ctr,17,1752,2115,2837
Diagnostic Imaging and Testing,CT w contrast: Head and neck,0,OHSU Hosp,279,765,1313,2017
Diagnostic Imaging and Testing,CT w contrast: Head and neck,0,Providence Hood River Mem Hosp,32,372,1228,1597
Diagnostic Imaging and Testing,CT w contrast: Head and neck,0,Providence Medford Med Ctr,31,717,1239,1408
Diagnostic Imaging and Testing,CT w contrast: Head and neck,0,Providence Milwaukie Hosp,31,309,544,898
Diagnostic Imaging and Testing,CT w contrast: Head and neck,0,Providence Newberg Med Ctr,65,351,547,972
Diagnostic Imaging and Testing,CT w contrast: Head and neck,0,Providence Portland Med Ctr,212,322,578,831
Diagnostic Imaging and Testing,CT w contrast: Head and neck,0,Providence Seaside Hosp,15,216,1852,1880
Diagnostic Imaging and Testing,CT w contrast: Head and neck,0,Providence St Vincent Med Ctr,219,385,653,950
Diagnostic Imaging and Testing,CT w contrast: Head and neck,0,Providence Willamette Falls Med Ctr,26,398,514,578
Diagnostic Imaging and Testing,CT w contrast: Head and neck,0,Salem Health Salem Hosp,31,893,1002,1516
Diagnostic Imaging and Testing,CT w contrast: Head and neck,0,Samaritan Albany Gen Hosp,18,1051,1483,2175
Diagnostic Imaging and Testing,CT w contrast: Head and neck,0,Santiam Hosp,13,120,541,1349
Diagnostic Imaging and Testing,CT w contrast: Head and neck,0,Sky Lakes Med Ctr,37,1344,1630,2114
Diagnostic Imaging and Testing,CT w contrast: Head and neck,0,St Anthony Hospital,13,1901,2322,3656
Diagnostic Imaging and Testing,CT w contrast: Head and neck,0,Tuality Comm Hosp,20,652,883,1135
Diagnostic Imaging and Testing,CT w contrast: Head and neck,0,Wallowa Mem Hosp,16,1417,1651,1798
Diagnostic Imaging and Testing,CT w contrast: Head and neck,0,Willamette Valley Med Ctr,16,683,823,1561
Diagnostic Imaging and Testing,CT: Abdomen GI,1,Statewide,2361,557,640,1162
Diagnostic Imaging and Testing,CT: Abdomen GI,0,Adventist Med Ctr,22,449,568,672
Diagnostic Imaging and Testing,CT: Abdomen GI,0,Adventist Tillamook Reg Med Ctr,13,1399,1547,1597
Diagnostic Imaging and Testing,CT: Abdomen GI,0,Asante Ashland Comm Hosp,14,732,1512,1809
Diagnostic Imaging and Testing,CT: Abdomen GI,0,Asante Rogue Valley Med Ctr,83,713,844,938
Diagnostic Imaging and Testing,CT: Abdomen GI,0,Asante Three Rivers Med Ctr,45,663,808,887
Diagnostic Imaging and Testing,CT: Abdomen GI,0,Columbia Mem Hosp,16,1420,1499,1515
Diagnostic Imaging and Testing,CT: Abdomen GI,0,Good Samaritan Regional Med Ctr,33,795,984,993
Diagnostic Imaging and Testing,CT: Abdomen GI,0,Good Shepherd Med Ctr,11,1935,2042,2042
Diagnostic Imaging and Testing,CT: Abdomen GI,0,Grande Ronde Hosp,11,2598,2710,2738
Diagnostic Imaging and Testing,CT: Abdomen GI,0,Kaiser Sunnyside Med Ctr,459,559,640,640
Diagnostic Imaging and Testing,CT: Abdomen GI,0,Kaiser Westside Med Ctr,340,559,640,640
Diagnostic Imaging and Testing,CT: Abdomen GI,0,Legacy Emanuel Med Ctr,28,516,713,1625
Diagnostic Imaging and Testing,CT: Abdomen GI,0,Legacy Good Samaritan Med Ctr,41,654,713,1598
Diagnostic Imaging and Testing,CT: Abdomen GI,0,Legacy Meridian Park Med Ctr,58,654,713,1641
Diagnostic Imaging and Testing,CT: Abdomen GI,0,Legacy Mount Hood Med Ctr,44,580,713,1287
Diagnostic Imaging and Testing,CT: Abdomen GI,0,Legacy Silverton Med Ctr,27,334,377,451
Diagnostic Imaging and Testing,CT: Abdomen GI,0,McKenzie-Willamette Med Ctr,20,205,632,984
Diagnostic Imaging and Testing,CT: Abdomen GI,0,Mercy Med Ctr,95,1140,2456,3128
Diagnostic Imaging and Testing,CT: Abdomen GI,0,Mid-Columbia Med Ctr,17,770,1080,1140
Diagnostic Imaging and Testing,CT: Abdomen GI,0,OHSU Hosp,97,703,1868,1961
Diagnostic Imaging and Testing,CT: Abdomen GI,0,PeaceHealth Cottage Grove Comm Hosp,11,2146,2355,2355
Diagnostic Imaging and Testing,CT: Abdomen GI,0,PeaceHealth Peace Harbor Med Ctr,11,2354,2354,2471
Diagnostic Imaging and Testing,CT: Abdomen GI,0,Providence Medford Med Ctr,69,708,977,1294
Diagnostic Imaging and Testing,CT: Abdomen GI,0,Providence Milwaukie Hosp,53,209,213,361
Diagnostic Imaging and Testing,CT: Abdomen GI,0,Providence Newberg Med Ctr,37,239,240,451
Diagnostic Imaging and Testing,CT: Abdomen GI,0,Providence Portland Med Ctr,181,205,213,349
Diagnostic Imaging and Testing,CT: Abdomen GI,0,Providence Seaside Hosp,13,238,1416,1423
Diagnostic Imaging and Testing,CT: Abdomen GI,0,Providence St Vincent Med Ctr,79,213,430,792
Diagnostic Imaging and Testing,CT: Abdomen GI,0,Providence Willamette Falls Med Ctr,65,213,220,598
Diagnostic Imaging and Testing,CT: Abdomen GI,0,Salem Health Salem Hosp,51,255,414,771
Diagnostic Imaging and Testing,CT: Abdomen GI,0,Salem Health West Valley Hosp,12,414,722,754
Diagnostic Imaging and Testing,CT: Abdomen GI,0,Samaritan Albany Gen Hosp,26,770,966,968
Diagnostic Imaging and Testing,CT: Abdomen GI,0,Samaritan Lebanon Comm Hosp,20,2866,3001,3017
Diagnostic Imaging and Testing,CT: Abdomen GI,0,Samaritan North Lincoln Hosp,11,2923,3017,3240
Diagnostic Imaging and Testing,CT: Abdomen GI,0,Samaritan Pacific Comm Hosp,15,1465,2923,3017
Diagnostic Imaging and Testing,CT: Abdomen GI,0,Santiam Hosp,64,151,2534,2832
Diagnostic Imaging and Testing,CT: Abdomen GI,0,Sky Lakes Med Ctr,37,1186,1462,1498
Diagnostic Imaging and Testing,CT: Abdomen GI,0,St Anthony Hospital,18,2522,2573,2848
Diagnostic Imaging and Testing,CT: Abdomen GI,0,Tuality Comm Hosp,17,584,760,906
Diagnostic Imaging and Testing,CT: Abdomen GI,0,Willamette Valley Med Ctr,29,644,690,866
Diagnostic Imaging and Testing,CT: Chest,1,Statewide,2381,350,590,1045
Diagnostic Imaging and Testing,CT: Chest,0,Adventist Med Ctr,35,221,316,674
Diagnostic Imaging and Testing,CT: Chest,0,Asante Ashland Comm Hosp,13,1089,1090,1500
Diagnostic Imaging and Testing,CT: Chest,0,Asante Rogue Valley Med Ctr,89,429,462,1162
Diagnostic Imaging and Testing,CT: Chest,0,Asante Three Rivers Med Ctr,48,327,429,433
Diagnostic Imaging and Testing,CT: Chest,0,Columbia Mem Hosp,25,1172,1693,1729
Diagnostic Imaging and Testing,CT: Chest,0,Good Samaritan Regional Med Ctr,24,485,489,1465
Diagnostic Imaging and Testing,CT: Chest,0,Grande Ronde Hosp,14,1407,1410,1468
Diagnostic Imaging and Testing,CT: Chest,0,Kaiser Sunnyside Med Ctr,336,590,590,638
Diagnostic Imaging and Testing,CT: Chest,0,Kaiser Westside Med Ctr,282,590,590,638
Diagnostic Imaging and Testing,CT: Chest,0,Legacy Emanuel Med Ctr,24,499,871,901
Diagnostic Imaging and Testing,CT: Chest,0,Legacy Good Samaritan Med Ctr,53,581,901,1109
Diagnostic Imaging and Testing,CT: Chest,0,Legacy Meridian Park Med Ctr,56,352,581,802
Diagnostic Imaging and Testing,CT: Chest,0,Legacy Mount Hood Med Ctr,30,581,901,1286
Diagnostic Imaging and Testing,CT: Chest,0,Legacy Silverton Med Ctr,16,305,415,499
Diagnostic Imaging and Testing,CT: Chest,0,Mercy Med Ctr,69,551,1266,1612
Diagnostic Imaging and Testing,CT: Chest,0,Mid-Columbia Med Ctr,18,583,1514,1599
Diagnostic Imaging and Testing,CT: Chest,0,OHSU Hosp,415,506,981,1522
Diagnostic Imaging and Testing,CT: Chest,0,Providence Hood River Mem Hosp,14,242,952,1111
Diagnostic Imaging and Testing,CT: Chest,0,Providence Medford Med Ctr,49,164,482,1177
Diagnostic Imaging and Testing,CT: Chest,0,Providence Milwaukie Hosp,40,238,243,334
Diagnostic Imaging and Testing,CT: Chest,0,Providence Newberg Med Ctr,37,273,273,421
Diagnostic Imaging and Testing,CT: Chest,0,Providence Portland Med Ctr,162,180,243,335
Diagnostic Imaging and Testing,CT: Chest,0,Providence Seaside Hosp,15,1771,1975,2005
Diagnostic Imaging and Testing,CT: Chest,0,Providence St Vincent Med Ctr,141,238,251,390
Diagnostic Imaging and Testing,CT: Chest,0,Providence Willamette Falls Med Ctr,31,243,335,393
Diagnostic Imaging and Testing,CT: Chest,0,Salem Health Salem Hosp,55,221,390,411
Diagnostic Imaging and Testing,CT: Chest,0,Salem Health West Valley Hosp,18,385,411,433
Diagnostic Imaging and Testing,CT: Chest,0,Samaritan Albany Gen Hosp,33,400,477,914
Diagnostic Imaging and Testing,CT: Chest,0,Samaritan Lebanon Comm Hosp,26,1465,1465,1465
Diagnostic Imaging and Testing,CT: Chest,0,Samaritan Pacific Comm Hosp,21,1284,1419,1465
Diagnostic Imaging and Testing,CT: Chest,0,Santiam Hosp,24,565,1308,1308
Diagnostic Imaging and Testing,CT: Chest,0,Sky Lakes Med Ctr,42,609,738,1186
Diagnostic Imaging and Testing,CT: Chest,0,St Alphonsus Med Ctr-Baker City,12,1384,1399,1410
Diagnostic Imaging and Testing,CT: Chest,0,Tuality Comm Hosp,28,264,342,410
Diagnostic Imaging and Testing,CT: Chest,0,Willamette Valley Med Ctr,20,340,439,1063
Diagnostic Imaging and Testing,CT: Extremities,1,Statewide,963,327,581,883
Diagnostic Imaging and Testing,CT: Extremities,0,Asante Rogue Valley Med Ctr,33,429,462,1110
Diagnostic Imaging and Testing,CT: Extremities,0,Asante Three Rivers Med Ctr,13,417,429,1371
Diagnostic Imaging and Testing,CT: Extremities,0,Good Samaritan Regional Med Ctr,29,485,485,911
Diagnostic Imaging and Testing,CT: Extremities,0,Good Shepherd Med Ctr,10,1665,1669,1766
Diagnostic Imaging and Testing,CT: Extremities,0,Kaiser Sunnyside Med Ctr,86,639,730,732
Diagnostic Imaging and Testing,CT: Extremities,0,Kaiser Westside Med Ctr,63,639,730,732
Diagnostic Imaging and Testing,CT: Extremities,0,Legacy Emanuel Med Ctr,20,536,583,799
Diagnostic Imaging and Testing,CT: Extremities,0,Legacy Good Samaritan Med Ctr,33,581,767,799
Diagnostic Imaging and Testing,CT: Extremities,0,Legacy Meridian Park Med Ctr,57,573,721,799
Diagnostic Imaging and Testing,CT: Extremities,0,Legacy Mount Hood Med Ctr,21,352,573,773
Diagnostic Imaging and Testing,CT: Extremities,0,Legacy Silverton Med Ctr,15,380,401,417
Diagnostic Imaging and Testing,CT: Extremities,0,Mercy Med Ctr,35,548,581,1330
Diagnostic Imaging and Testing,CT: Extremities,0,OHSU Hosp,77,346,638,927
Diagnostic Imaging and Testing,CT: Extremities,0,Providence Hood River Mem Hosp,16,1082,1088,1330
Diagnostic Imaging and Testing,CT: Extremities,0,Providence Medford Med Ctr,37,353,935,1171
Diagnostic Imaging and Testing,CT: Extremities,0,Providence Milwaukie Hosp,24,239,245,372
Diagnostic Imaging and Testing,CT: Extremities,0,Providence Newberg Med Ctr,18,273,274,275
